roomcount,enterroomtime
1,4.534961938858
1,4.5341460704803
1,4.5340690612793
1,4.533488035202
1,4.5438661575317
1,4.543762922287
1,4.5427389144897
1,4.5427618026733
1,4.5518329143524
1,4.5531809329987
2,4.553062915802
2,4.5525710582733
2,4.5524561405182
2,4.5527329444885
2,4.5552442073822
67,8.1298751831055
68,8.12908411026
68,8.1200571060181
68,8.1175780296326
68,8.1129150390625
68,8.1057169437408
68,8.1052458286285
68,8.094810962677
68,8.0853459835052
68,8.0763320922852
68,8.0763940811157
69,8.0663461685181
69,8.0577349662781
69,8.0480461120605
69,8.0681240558624
69,8.0594749450684
69,8.048143863678
69,8.0385551452637
69,8.0391080379486
69,8.0290431976318
69,8.0197699069977
70,8.0098509788513
70,8.0005881786346
70,7.9899210929871
70,7.99076795578
70,7.9820430278778
70,7.9728109836578
70,7.964075088501
70,7.9646811485291
70,7.9552640914917
70,7.9460089206696
71,7.9371838569641
71,7.9269580841064
71,7.9176509380341
71,7.9177839756012
71,7.9080600738525
71,7.8978259563446
71,7.9197528362274
71,7.9117109775543
71,7.9113671779633
71,7.9020318984985
72,7.8922801017761
72,7.8825089931488
72,7.8821110725403
72,7.872111082077
72,7.866446018219
72,7.856782913208
72,7.8562319278717
72,7.847216129303
72,7.8380870819092
72,7.8293340206146
73,7.8288569450378
73,7.819354057312
73,7.8082740306854
73,7.7994179725647
73,7.7913389205933
73,7.7918009757996
73,7.7833871841431
73,7.7829790115356
73,7.7747409343719
73,7.7648050785065
74,7.755234003067
74,7.7468400001526
74,7.7369589805603
74,7.7376267910004
74,7.7281539440155
74,7.7179629802704
74,7.7092981338501
74,7.6995439529419
74,7.6899950504303
74,7.6814920902252
75,7.6720879077911
75,7.6628601551056
75,7.6536710262299
75,7.6578359603882
75,7.6487782001495
75,7.6393141746521
75,7.6302468776703
75,7.6203739643097
75,7.6113841533661
75,7.6017971038818
76,7.5925657749176
76,7.5938150882721
76,7.5838449001312
76,7.6028499603271
76,7.5940880775452
76,7.58464884758
76,7.578577041626
76,7.6010100841522
76,7.5920879840851
76,7.5832581520081
77,7.5834639072418
77,7.5744600296021
77,7.5652530193329
77,7.5558571815491
77,7.5560710430145
77,7.5481839179993
77,7.5410330295563
77,7.5417358875275
77,7.5330181121826
77,7.5241868495941
78,7.5153930187225
78,7.506865978241
78,7.5087430477142
78,7.5031790733337
78,7.4943509101868
78,7.4851360321045
78,7.4764239788055
78,7.4857649803162
78,7.4902551174164
78,7.4927599430084
79,7.4926149845123
79,7.4935851097107
79,7.4733870029449
79,7.4635450839996
79,7.4540429115295
79,7.4574000835419
79,7.4475009441376
79,7.4388451576233
79,7.427610874176
79,7.4176290035248
80,7.4066760540009
80,7.3946878910065
80,7.3970029354095
